OGLE-BLG-HB-0048 RG 17 44 19.31 -22 56 50.7 BLG632.31.53494                                  OGLE-BLG-DN-100               
OGLE-BLG-HB-0049 RG 17 44 27.20 -34 11 40.2 BLG603.14.74515  BLG129.3.18236                  OGLE-BLG-ELL-004998           
OGLE-BLG-HB-0050 RG 17 44 29.13 -34 18 52.3 BLG603.14.15651  BLG129.2.77119                  OGLE-BLG-ELL-005015           
OGLE-BLG-HB-0051 RG 17 44 29.35 -34 43 51.9 BLG603.06.3098                                   OGLE-BLG-ELL-005020           
OGLE-BLG-HB-0052 RG 17 44 34.43 -33 21 45.0 BLG660.06.55410  BLG138.5.97216                  OGLE-BLG-ELL-005055           
OGLE-BLG-HB-0053 RG 17 44 46.97 -21 41 10.3 BLG631.30.89697                                  OGLE-BLG-ELL-005143           
OGLE-BLG-HB-0054 RG 17 44 52.32 -35 30 25.4 BLG604.13.90099                                  OGLE-BLG-ELL-005193           
OGLE-BLG-HB-0055 RG 17 45  3.28 -33 38 38.0 BLG603.30.62476  BLG138.7.178648                 OGLE-BLG-ELL-005269           
OGLE-BLG-HB-0056 RG 17 45  7.68 -33 43 12.3 BLG603.30.50937  BLG138.7.91620                  OGLE-BLG-ELL-005299           
OGLE-BLG-HB-0057 RG 17 45 10.46 -24 58  6.6 BLG633.13.126                                    OGLE-BLG-ECL-090171           
OGLE-BLG-HB-0058 RG 17 45 12.42 -33 26 29.6 BLG660.05.83865  BLG138.5.35142                  OGLE-BLG-ELL-005327           
OGLE-BLG-HB-0059 RG 17 45 32.87 -35 49 29.7 BLG604.04.80303  BLG112.5.8832                   OGLE-BLG-ELL-005472           
OGLE-BLG-HB-0060 RG 17 45 35.01 -34 15 22.9 BLG603.12.115562 BLG130.7.115373                 OGLE-BLG-ELL-005484           
OGLE-BLG-HB-0061 RG 17 45 46.66 -34 18 56.2 BLG603.12.59103  BLG130.7.69045                  OGLE-BLG-ELL-005558           
OGLE-BLG-HB-0062 RG 17 45 47.53 -35  2  7.7 BLG604.29.34531  BLG121.8.81022                  OGLE-BLG-ELL-005563           
OGLE-BLG-HB-0063 RG 17 45 49.84 -34 18 44.4 BLG603.12.59106  BLG130.7.75860                  OGLE-BLG-ELL-005581           
OGLE-BLG-HB-0064 RG 17 45 55.00 -24 23 30.0 BLG633.21.44941                                  OGLE-BLG-ELL-005618           
OGLE-BLG-HB-0065 RG 17 46  3.68 -22 51 52.2 BLG632.28.165311 BLG342.5.63256                  OGLE-BLG-ELL-005671           
OGLE-BLG-HB-0066 RG 17 46 10.91 -33 40  0.0 BLG603.28.91779  BLG138.2.143646                 OGLE-BLG-ELL-005725           
OGLE-BLG-HB-0067 RG 17 46 20.21 -33 39  6.7 BLG603.28.61561  BLG138.2.143678                 OGLE-BLG-ELL-005791           
OGLE-BLG-HB-0068 RG 17 46 21.45 -34 23 41.9 BLG603.11.87475  BLG130.8.195829                 OGLE-BLG-ELL-005795           
OGLE-BLG-HB-0069 RG 17 46 23.04 -34 21 34.6 BLG603.11.93287  BLG130.8.195906                 OGLE-BLG-ELL-005807           
OGLE-BLG-HB-0070 RG 17 46 23.74 -36 20 39.9 BLG605.20.55055  BLG108.5.117355                 OGLE-BLG-ELL-005812           
OGLE-BLG-HB-0071 RG 17 46 29.31 -22 56 28.8 BLG632.28.68386  BLG342.6.161624                 OGLE-BLG-ELL-005837           
OGLE-BLG-HB-0072 RG 17 46 30.32 -35 37 39.2 BLG604.11.36891  BLG116.1.33132                  OGLE-BLG-ECL-100053           
OGLE-BLG-HB-0073 RG 17 46 40.11 -23 12 57.2 BLG632.19.168332 BLG342.2.5778   BUL_SC14_61518  OGLE-BLG-ELL-005924           
OGLE-BLG-HB-0074 RG 17 46 49.96 -34 19 20.8 BLG603.11.15427  BLG130.2.52897                  OGLE-BLG-ELL-005989           
OGLE-BLG-HB-0075 RG 17 46 51.15 -33 32 37.0 BLG603.28.17025  BLG139.6.53894                  OGLE-BLG-ELL-006000           
OGLE-BLG-HB-0076 RG 17 46 51.19 -33 36 57.8 BLG603.28.8402   BLG139.7.108519                 OGLE-BLG-ELL-006001           
OGLE-BLG-HB-0077 RG 17 47  0.47 -36 20 24.3 BLG605.19.52755  BLG108.4.101024                 OGLE-BLG-ECL-103669           
OGLE-BLG-HB-0078 RG 17 47  6.70 -36 36 43.5 BLG605.19.29     BLG108.2.101978                 OGLE-BLG-ELL-006108           
OGLE-BLG-HB-0079 RG 17 47  7.04 -34 51 58.6 BLG604.27.98420  BLG121.2.137175 BUL_SC26_300619 OGLE-BLG-ELL-006115           
OGLE-BLG-HB-0080 RG 17 47 22.96 -36  3 13.5 BLG605.26.111670 BLG112.2.96280                  OGLE-BLG-ELL-006246           
OGLE-BLG-HB-0081 RG 17 47 32.59 -22 53 59.5 BLG632.26.107802 BLG342.4.32968  BUL_SC14_576473 OGLE-BLG-ELL-006312           
OGLE-BLG-HB-0082 RG 17 47 37.86 -23 25  2.1 BLG632.18.85454                  BUL_SC15_19286  OGLE-BLG-ELL-006345           
OGLE-BLG-HB-0083 RG 17 47 43.83 -36 47  4.9                                  BUL_SC29_104850 OGLE-BLG-ELL-006384           
OGLE-BLG-HB-0084 RG 17 47 54.62 -34 32 38.4 BLG603.01.103888 BLG122.5.107930                 OGLE-BLG-ELL-006453           
OGLE-BLG-HB-0085 RG 17 47 56.19 -34 11 22.0 BLG603.09.107603 BLG130.3.40884                  OGLE-BLG-ELL-006467           
OGLE-BLG-HB-0086 RG 17 47 56.54 -33 19 33.4 BLG660.01.147763 BLG139.5.173766                 OGLE-BLG-ELL-006469           
OGLE-BLG-HB-0087 RG 17 48  1.03 -20 21 33.8 BLG636.25.44                                     OGLE-BLG-ELL-006497           
OGLE-BLG-HB-0088 RG 17 48 14.62 -23 50 54.5 BLG639.25.33013                                  OGLE-BLG-ELL-006592           
OGLE-BLG-HB-0089 RG 17 48 16.98 -22 37 13.2 BLG638.25.19371  BLG340.7.27                     OGLE-BLG-ELL-006602           
OGLE-BLG-HB-0090 RG 17 48 18.11 -33 42  8.6 BLG603.26.11538  BLG139.2.54982                  OGLE-BLG-ELL-006610           
OGLE-BLG-HB-0091 RG 17 48 20.10 -33 31 21.8 BLG660.01.36084  BLG139.3.122408                 OGLE-BLG-ELL-006623           
OGLE-BLG-HB-0092 RG 17 48 24.24 -23 22 25.7 BLG632.17.41912  BLG343.8.24473  BUL_SC15_483990 OGLE-BLG-ELL-006653           
OGLE-BLG-HB-0093 RG 17 48 32.49 -34 55 36.7 BLG503.16.93553  BLG122.7.21444  BUL_SC27_476422 OGLE-BLG-ELL-006713           
OGLE-BLG-HB-0094 RG 17 48 37.06 -23 20 51.5 BLG638.07.75075  BLG343.8.76954  BUL_SC15_484043 OGLE-BLG-ELL-006739           
OGLE-BLG-HB-0095 RG 17 48 43.69 -33 29 32.5 BLG502.25.42318  BLG139.3.136625                 OGLE-BLG-ELL-006790           
OGLE-BLG-HB-0096 RG 17 48 49.27 -34 59 41.7 BLG503.16.3563   BLG122.8.139419 BUL_SC27_629871 OGLE-BLG-ELL-006838           
OGLE-BLG-HB-0097 RG 17 49 14.75 -22 57 43.8 BLG638.14.116250 BLG343.3.124311                 OGLE-BLG-ELL-007036           
OGLE-BLG-HB-0098 RG 17 49 15.81 -22 53 41.3 BLG638.14.124591 BLG343.4.41746                  OGLE-BLG-ELL-007046           
OGLE-BLG-HB-0099 RG 17 49 40.10 -33 14  5.4 BLG502.24.37612  BLG147.8.163383                 OGLE-BLG-ELL-007242           
OGLE-BLG-HB-0100 RG 17 49 40.45 -22 55 30.4 BLG638.14.20713  BLG343.4.20295                  OGLE-BLG-ELL-007247           
OGLE-BLG-HB-0101 RG 17 49 41.43 -34  7 21.3 BLG502.07.3828   BLG131.3.100878                 OGLE-BLG-ELL-007257           
OGLE-BLG-HB-0102 RG 17 49 41.60 -34 43 11.0                  BLG122.3.70376                  OGLE-BLG-ELL-007259           
OGLE-BLG-HB-0103 RG 17 49 41.67 -32 49 54.6 BLG535.07.32936  BLG147.5.81865                  OGLE-BLG-ECL-123388           
OGLE-BLG-HB-0104 RG 17 49 43.95 -34 29 12.7 BLG503.23.154885 BLG131.1.11071                  OGLE-BLG-ELL-007276           
OGLE-BLG-HB-0105 RG 17 49 44.04 -35 11  6.9 BLG503.06.147577 BLG117.4.46112                  OGLE-BLG-ELL-007278           
OGLE-BLG-HB-0106 RG 17 49 44.17 -33 17 35.6 BLG502.24.31786  BLG147.8.48792                  OGLE-BLG-ELL-007281           
OGLE-BLG-HB-0107 RG 17 50  1.13 -34 35 15.6 BLG503.23.101668 BLG122.4.77270                  OGLE-BLG-ELL-007430           
OGLE-BLG-HB-0108 RG 17 50  2.80 -30 21 23.3 BLG501.07.6559   BLG179.4.131273 BUL_SC5_5964    OGLE-BLG-ELL-007442           
OGLE-BLG-HB-0109 RG 17 50  3.18 -32 50 12.2 BLG535.06.112115 BLG147.4.5529                   OGLE-BLG-ELL-007446           
OGLE-BLG-HB-0110 RG 17 50  7.46 -30 30 32.3 BLG534.31.145915 BLG179.3.139051                 OGLE-BLG-ELL-007486           
OGLE-BLG-HB-0111 RG 17 50  8.83 -29 43 44.1 BLG501.23.107102 BLG100.5.81820  BUL_SC5_165273  OGLE-BLG-ELL-007504           
OGLE-BLG-HB-0112 RG 17 50 10.32 -30 51 19.4 BLG534.23.116162 BLG179.1.70074                  OGLE-BLG-ELL-007526           
OGLE-BLG-HB-0113 RG 17 50 14.69 -30 49 11.9 BLG534.23.88792  BLG179.1.105331                 OGLE-BLG-ELL-007583           
OGLE-BLG-HB-0114 RG 17 50 23.63 -32 49 28.4 BLG535.06.41916  BLG147.4.71355                  OGLE-BLG-ELL-007664           
OGLE-BLG-HB-0115 RG 17 50 28.46 -33 34 40.7 BLG502.14.30114  BLG140.6.81513                  OGLE-BLG-ELL-007708           
OGLE-BLG-HB-0116 RG 17 50 28.77 -33 35 51.2 BLG502.14.30101  BLG140.6.33802                  OGLE-BLG-ELL-007712           
OGLE-BLG-HB-0117 RG 17 50 29.56 -33  4 39.0 BLG502.31.14594  BLG147.2.137709                 OGLE-BLG-ELL-007718           
OGLE-BLG-HB-0118 RG 17 50 30.60 -30 27 17.1 BLG534.31.75284  BLG179.4.53481                  OGLE-BLG-ELL-007734           
OGLE-BLG-HB-0119 RG 17 50 30.60 -23  0 27.0 BLG638.12.108777                                 OGLE-BLG-ELL-007735           
OGLE-BLG-HB-0120 RG 17 50 35.08 -30 41 34.4 BLG534.31.42284  BLG179.2.113392                 OGLE-BLG-ELL-007779           
OGLE-BLG-HB-0121 RG 17 50 39.36 -35  5 32.1 BLG503.05.125996 BLG122.1.45560                  OGLE-BLG-ELL-007822           
OGLE-BLG-HB-0122 RG 17 50 40.08 -30 23 24.6 BLG501.06.48574  BLG179.4.102261 BUL_SC5_314029  OGLE-BLG-ELL-007827           
OGLE-BLG-HB-0123 RG 17 50 44.69 -33 11 34.5 BLG502.30.85169  BLG147.1.202920 BUL_SC40_95834  OGLE-BLG-ELL-007893           
OGLE-BLG-HB-0124 RG 17 50 46.07 -24  2 34.0 BLG639.21.57930                                  OGLE-BLG-ELL-007908           
OGLE-BLG-HB-0125 RG 17 50 50.27 -22 57  1.6 BLG638.12.52548                                  OGLE-BLG-ELL-007950           
OGLE-BLG-HB-0126 RG 17 50 58.40 -33 18 56.9 BLG502.22.69604  BLG147.1.41497  BUL_SC40_226292 OGLE-BLG-ELL-008040           
OGLE-BLG-HB-0127 RG 17 51  1.81 -30  4 33.0 BLG501.13.87767  BLG100.2.59695                  OGLE-BLG-ELL-008068           
OGLE-BLG-HB-0128 RG 17 51  2.19 -30 54 30.4 BLG534.22.90561  BLG179.1.52670                  OGLE-BLG-ECL-134623           
OGLE-BLG-HB-0129 RG 17 51  9.85 -30  4  6.8 BLG501.13.93775  BLG100.2.119282                 OGLE-BLG-ECL-135784           
OGLE-BLG-HB-0130 RG 17 51 13.30 -33 38 21.2 BLG502.13.18170  BLG140.2.117058 BUL_SC40_337097 OGLE-BLG-ELL-008193           
OGLE-BLG-HB-0131 RG 17 51 17.27 -33 17 47.4 BLG502.22.32363  BLG148.8.5554   BUL_SC40_393340 OGLE-BLG-ELL-008247           
OGLE-BLG-HB-0132 RG 17 51 21.10 -32 14 21.2 BLG535.22.2258   BLG155.5.56812                  OGLE-BLG-ELL-008288           
OGLE-BLG-HB-0133 RG 17 51 22.05 -30 50 30.5 BLG534.22.23062  BLG180.8.153329                 OGLE-BLG-ELL-008299           
OGLE-BLG-HB-0134 RG 17 51 22.70 -32 19 34.3                  BLG155.6.105423                 OGLE-BLG-ELL-008314           
OGLE-BLG-HB-0135 RG 17 51 24.65 -29 59 53.3 BLG501.13.15762  BLG100.2.187139                 OGLE-BLG-ELL-008342           
OGLE-BLG-HB-0136 RG 17 51 30.82 -30 26 22.1 BLG501.05.30     BLG180.5.49345                  OGLE-BLG-ELL-008405           
OGLE-BLG-HB-0137 RG 17 51 32.95 -29 17  0.0 BLG501.30.19803  BLG194.3.131098                 OGLE-BLG-ELL-008427           
OGLE-BLG-HB-0138 RG 17 51 35.36 -35 13 14.9 BLG503.04.62418  BLG118.5.26698                  OGLE-BLG-ELL-008459           
OGLE-BLG-HB-0139 RG 17 51 41.03 -32 30 54.5 BLG535.12.85068  BLG155.7.84567                  OGLE-BLG-ELL-008531           
OGLE-BLG-HB-0140 RG 17 51 44.44 -33 11 30.7 BLG502.29.44395  BLG148.8.175907 BUL_SC41_57589  OGLE-BLG-ELL-008565           
