OGLE-BLG-CEP-001        F  17:34:15.03 -27:23:53.7  BLG611.14.36983  BLG333.8.30568                  
OGLE-BLG-CEP-002        F  17:37:58.64 -22:30:12.1  BLG625.32.78667  BLG336.2.114493                 
OGLE-BLG-CEP-003     F/1O  17:44:43.79 -23:43:25.1  BLG632.13.133301 BLG344.2.150516                 
OGLE-BLG-CEP-004    1O/2O  17:45:49.83 -33:46:07.6  BLG603.29.45415  BLG138.1.170393                 
OGLE-BLG-CEP-005        F  17:49:07.05 -23:07:18.7                   BLG343.2.121449                 
OGLE-BLG-CEP-007        F  17:49:52.04 -22:49:29.4  BLG638.22.94017  BLG343.4.98754                  
OGLE-BLG-CEP-009    1O/2O  17:51:38.02 -33:21:20.7  BLG502.21.105666 BLG140.4.117979 BUL_SC40_534536 
OGLE-BLG-CEP-015       1O  17:55:09.62 -31:24:08.3  BLG507.24.175530 BLG172.8.193067                 
OGLE-BLG-CEP-016 1O/2O/3O  17:55:15.56 -30:59:35.2  BLG506.07.110304 BLG172.5.175943                 
OGLE-BLG-CEP-018        F  17:56:38.69 -30:08:30.0                   BLG103.2.128592                 
OGLE-BLG-CEP-019    1O/2O  17:56:40.19 -29:00:46.2  BLG505.22.170455 BLG205.7.30079                  
OGLE-BLG-CEP-020       1O  17:57:22.23 -29:03:40.5  BLG505.21.196969 BLG205.1.219238                 
OGLE-BLG-CEP-021     F/1O  17:57:50.36 -28:04:43.3  BLG504.12.34614  BLG214.4.61686                  
OGLE-BLG-CEP-024       1O  18:01:16.75 -29:52:04.1  BLG513.15.33219  BLG189.5.102653 BUL_SC38_292204 
OGLE-BLG-CEP-027       1O  18:06:17.99 -29:45:05.1  BLG520.07.104354 BLG197.8.20065                  
OGLE-BLG-CEP-029        F  18:07:35.42 -28:54:25.4                   BLG209.7.220490                 
OGLE-BLG-CEP-030 1O/2O/3O  18:10:03.60 -25:51:38.9                   BLG251.6.52223  BUL_SC16_353674 
OGLE-BLG-CEP-031        F  18:13:32.92 -26:23:36.6                                                   V1828 Sgr
OGLE-BLG-CEP-032        F  18:16:06.86 -24:52:56.5  BLG545.18.3038   BLG266.7.10160                  
OGLE-BLG-CEP-033       1O  17:24:26.76 -30:01:45.6  BLG615.12.53143                                  
OGLE-BLG-CEP-034       1O  17:24:28.69 -26:22:35.4  BLG619.05.26296                                  
OGLE-BLG-CEP-035       1O  17:27:58.23 -27:53:51.9  BLG612.24.22680                                  
OGLE-BLG-CEP-036       1O  17:28:11.01 -28:07:25.0  BLG612.15.12252                                  
OGLE-BLG-CEP-037        F  17:29:06.80 -30:38:59.7  BLG662.13.36391                                  
OGLE-BLG-CEP-038        F  17:30:33.43 -29:12:59.1  BLG613.20.57799                                  
OGLE-BLG-CEP-039       1O  17:30:37.94 -28:50:56.7  BLG613.28.70179                                  
OGLE-BLG-CEP-040        F  17:31:20.62 -30:33:03.4  BLG662.10.77627                                  
OGLE-BLG-CEP-041 1O/2O/3O  17:31:40.80 -36:49:24.9  BLG672.14.4453                                   
OGLE-BLG-CEP-042        F  17:32:52.85 -34:33:37.8  BLG670.05.28719                                  
OGLE-BLG-CEP-043    1O/2O  17:33:01.65 -29:48:50.8  BLG654.25.115                                    
OGLE-BLG-CEP-044       1O  17:33:05.31 -25:08:12.7  BLG715.07.10648                                  
OGLE-BLG-CEP-045        F  17:33:31.73 -29:57:04.3  BLG654.15.31212                                  
OGLE-BLG-CEP-046       1O  17:33:56.38 -29:43:46.0  BLG654.23.104023                                 
OGLE-BLG-CEP-047       1O  17:33:58.18 -26:07:22.3  BLG667.14.1293                                   
OGLE-BLG-CEP-048    1O/2O  17:35:27.95 -28:39:56.2  BLG653.12.77510                                  
OGLE-BLG-CEP-049       1O  17:36:05.03 -28:50:05.2  BLG653.11.66196                                  
OGLE-BLG-CEP-050       1O  17:36:25.96 -29:08:41.1  BLG653.03.6575                                   
OGLE-BLG-CEP-051        F  17:36:55.59 -33:19:36.3  BLG661.25.46284                                  
OGLE-BLG-CEP-052        F  17:36:57.59 -30:55:42.8  BLG655.19.10921                                  
OGLE-BLG-CEP-053        F  17:36:58.53 -29:52:09.3  BLG654.10.35871                                  
OGLE-BLG-CEP-054       1O  17:37:32.94 -28:49:38.1  BLG653.09.57456                                  
OGLE-BLG-CEP-055       1O  17:37:45.57 -28:48:15.1  BLG653.09.34770                                  
OGLE-BLG-CEP-056       1O  17:37:55.19 -33:24:49.2  BLG661.24.7253                                   
OGLE-BLG-CEP-057        F  17:38:02.16 -29:46:53.8  BLG654.18.2057                                   
OGLE-BLG-CEP-058       1O  17:38:40.33 -27:23:42.7  BLG675.15.135475                                 
OGLE-BLG-CEP-059    1O/2O  17:38:58.04 -27:34:32.6  BLG675.15.42211                                  
OGLE-BLG-CEP-060        F  17:39:36.19 -27:00:45.9  BLG675.31.23825                                  
OGLE-BLG-CEP-061        F  17:39:42.70 -28:48:35.2  BLG676.14.11429                                  
OGLE-BLG-CEP-062        F  17:39:43.38 -28:43:14.8  BLG676.14.19846                                  
OGLE-BLG-CEP-063       1O  17:39:59.93 -27:45:12.3  BLG675.05.105361                                 
OGLE-BLG-CEP-064       1O  17:40:24.02 -22:03:29.1  BLG624.04.41948                                  
OGLE-BLG-CEP-065        F  17:40:58.69 -28:08:25.7  BLG676.29.15665                                  
OGLE-BLG-CEP-066       1O  17:42:26.95 -26:45:13.7  BLG652.02.41511                                  
OGLE-BLG-CEP-067       1O  17:42:36.21 -24:18:44.4  BLG626.09.3132   BLG346.2.110573                 
OGLE-BLG-CEP-068       1O  17:44:14.08 -26:13:17.2  BLG648.32.74364                                  
OGLE-BLG-CEP-069       1O  17:44:26.36 -22:55:26.4  BLG632.31.58631                                  
OGLE-BLG-CEP-070    1O/2O  17:45:29.90 -25:03:44.5  BLG633.04.103137                                 
OGLE-BLG-CEP-072       1O  17:46:23.69 -25:53:32.5  BLG683.04.97579                                  
OGLE-BLG-CEP-073        F  17:47:09.82 -24:09:43.4  BLG633.27.38472                                  
OGLE-BLG-CEP-074        F  17:47:56.70 -26:31:51.0  BLG648.19.41912                                  
OGLE-BLG-CEP-075       1O  17:48:38.59 -36:13:57.4  BLG599.16.159    BLG113.8.55450                  
OGLE-BLG-CEP-076        F  17:49:59.77 -27:08:26.5  BLG533.24.3841                                   
OGLE-BLG-CEP-077     F/1O  17:50:45.98 -22:59:49.1  BLG638.12.77408                                  
OGLE-BLG-CEP-078    1O/2O  17:51:18.09 -29:24:03.7  BLG501.30.36009  BLG194.3.4111                   
OGLE-BLG-CEP-079        F  17:51:37.87 -24:21:23.2  BLG639.11.35                                     
OGLE-BLG-CEP-080    1O/2O  17:51:55.91 -28:25:23.9  BLG500.21.82815                                  
OGLE-BLG-CEP-081        F  17:52:09.10 -21:03:02.6  BLG637.27.49399                                  
OGLE-BLG-CEP-082       1O  17:52:23.08 -28:54:34.3  BLG500.11.133783                                 
OGLE-BLG-CEP-083       1O  17:52:24.92 -23:22:17.5  BLG638.02.6155                                   
OGLE-BLG-CEP-084        F  17:52:51.78 -23:49:22.4  BLG639.18.46952                                  
OGLE-BLG-CEP-085       1O  17:53:16.90 -22:19:20.7  BLG642.16.28892                                  
OGLE-BLG-CEP-086       1O  17:54:16.53 -21:22:11.0  BLG641.06.89908                                  
OGLE-BLG-CEP-087       1O  17:54:29.53 -23:02:10.3  BLG643.31.57400                                  
OGLE-BLG-CEP-088       1O  17:54:31.89 -21:05:03.5  BLG641.14.22396                                  
OGLE-BLG-CEP-089        F  17:56:16.90 -23:29:34.5  BLG643.12.16687                                  
OGLE-BLG-CEP-090        F  17:56:45.03 -20:22:36.4  BLG641.28.47365                                  
OGLE-BLG-CEP-091        F  17:57:12.57 -26:50:19.7  BLG645.12.57186                                  
OGLE-BLG-CEP-092        F  17:57:13.44 -26:09:11.4  BLG645.29.29018                                  
OGLE-BLG-CEP-093        F  17:57:18.94 -23:02:07.0  BLG643.27.35637                                  
OGLE-BLG-CEP-094    1O/2O  17:58:04.03 -27:42:16.3  BLG504.20.193625 BLG223.7.155193                 
OGLE-BLG-CEP-096        F  17:58:42.65 -21:15:11.9  BLG641.08.3198                                   
OGLE-BLG-CEP-097       1O  18:11:23.66 -25:19:33.2  BLG580.17.20558  BLG258.3.9149                   
OGLE-BLG-CEP-098     F/1O  18:13:31.14 -31:49:26.8  BLG546.31.24020                                  
OGLE-BLG-CEP-099        F  18:16:16.67 -23:18:21.2  BLG527.16.55883  BLG279.4.66794                  
OGLE-BLG-CEP-100    1O/2O  18:18:24.13 -24:45:21.6  BLG528.05.111204 BLG267.7.85812                  
OGLE-BLG-CEP-101       1O  17:03:45.21 -37:50:56.6  BLG994.15.22280                                  
OGLE-BLG-CEP-102       1O  17:08:41.09 -34:13:35.7  BLG909.14.502                                    
OGLE-BLG-CEP-103        F  17:12:25.10 -39:26:47.5  BLG990.21.49247                                  
OGLE-BLG-CEP-104     F/1O  17:12:28.89 -38:52:49.6  BLG989.04.20854                                  
OGLE-BLG-CEP-105        F  17:15:41.11 -38:51:40.8  BLG925.25.29784                                  
OGLE-BLG-CEP-106        F  17:15:56.21 -39:18:58.1  BLG925.16.1866                                   
OGLE-BLG-CEP-107       1O  17:16:14.55 -33:09:01.9  BLG918.21.39578                                  
OGLE-BLG-CEP-108        F  17:17:45.39 -38:20:35.7  BLG924.06.3500                                   
OGLE-BLG-CEP-109       1O  17:18:20.77 -42:55:57.8  BLG986.12.579                                    
OGLE-BLG-CEP-110        F  17:18:47.43 -38:17:29.2  BLG924.04.20780                                  
OGLE-BLG-CEP-111        F  17:20:15.51 -37:46:04.1  BLG924.19.35                                     
OGLE-BLG-CEP-112        F  17:21:06.67 -37:17:31.3  BLG924.26.4560                                   
OGLE-BLG-CEP-113        F  17:21:23.50 -35:49:42.7  BLG979.05.39                                     
OGLE-BLG-CEP-114       1O  17:23:14.53 -44:19:43.3  BLG983.22.27639                                  
OGLE-BLG-CEP-115        F  17:23:31.13 -38:58:35.9  BLG929.07.386                                    
OGLE-BLG-CEP-116        F  17:24:06.72 -31:37:57.8  BLG920.04.1373                                   
OGLE-BLG-CEP-118       1O  17:27:26.48 -37:34:31.2  BLG928.03.22175                                  
OGLE-BLG-CEP-119       1O  17:28:10.43 -36:17:34.0  BLG975.11.73                                     
OGLE-BLG-CEP-120        F  17:28:42.04 -36:14:20.5  BLG975.10.454                                    
OGLE-BLG-CEP-121        F  17:29:59.17 -34:09:55.1  BLG974.26.12173                                  
OGLE-BLG-CEP-122        F  17:30:31.75 -33:52:43.3  BLG973.01.10737                                  
OGLE-BLG-CEP-123        F  17:33:26.43 -32:29:20.1  BLG669.30.55                                     
OGLE-BLG-CEP-124        F  17:34:00.54 -33:12:35.3  BLG669.12.4                                      
OGLE-BLG-CEP-125        F  17:36:04.21 -32:20:13.7  BLG669.27.13585                                  
OGLE-BLG-CEP-126       1O  17:37:12.98 -32:11:26.6  BLG679.25.4                                      
OGLE-BLG-CEP-127        F  17:39:15.26 -32:25:36.1  BLG679.13.22101                                  
OGLE-BLG-CEP-128        F  17:39:43.68 -31:44:43.9  BLG679.30.6244                                   
OGLE-BLG-CEP-129        F  17:55:26.42 -19:55:48.1  BLG640.12.1642                                   
OGLE-BLG-CEP-130        F  17:57:57.78 -19:25:12.9  BLG640.26.1023                                   
