OGLE-BLG-ROT-000054 17:14:59.63 -29:27:40.5 BLG617.22.120887 BLG363.3.153877                                              
OGLE-BLG-ROT-000055 17:15:02.63 -29:38:32.3 BLG617.22.104372 BLG363.2.112359                                              
OGLE-BLG-ROT-000056 17:15:02.67 -29:14:35.2 BLG617.30.106265 BLG360.1.61684                                               
OGLE-BLG-ROT-000057 17:15:03.40 -28:15:47.0 BLG616.22.85765                                                               
OGLE-BLG-ROT-000058 17:15:05.11 -29:54:55.3 BLG617.13.104599                                                              
OGLE-BLG-ROT-000059 17:15:06.08 -29:18:16.0 BLG617.30.98598  BLG363.4.145279                                              
OGLE-BLG-ROT-000060 17:15:06.64 -29:34:43.1 BLG617.22.75912  BLG363.3.34169                                               
OGLE-BLG-ROT-000061 17:15:09.50 -29:46:17.4 BLG617.13.86679  BLG362.8.103245                                              
OGLE-BLG-ROT-000062 17:15:10.82 -30:10:49.7 BLG617.05.71809                                                               
OGLE-BLG-ROT-000063 17:15:11.88 -30:08:14.5 BLG617.05.75644                                                               
OGLE-BLG-ROT-000064 17:15:13.04 -29:42:36.9 BLG617.22.64118  BLG362.7.4573                                                
OGLE-BLG-ROT-000065 17:15:15.88 -30:09:31.6 BLG617.05.75694                                                               
OGLE-BLG-ROT-000066 17:15:19.18 -30:00:52.2 BLG617.13.30372                                                               
OGLE-BLG-ROT-000067 17:15:21.19 -29:12:37.2 BLG617.30.49674  BLG359.8.69161                                               
OGLE-BLG-ROT-000068 17:15:21.67 -29:16:57.1 BLG617.30.41122  BLG359.8.3649                                                
OGLE-BLG-ROT-000069 17:15:25.33 -29:31:19.5 BLG617.22.52138  BLG362.6.42279                                               
OGLE-BLG-ROT-000070 17:15:27.28 -29:10:52.3 BLG617.30.51094  BLG359.8.107687                                              
OGLE-BLG-ROT-000071 17:15:28.44 -30:19:03.4 BLG617.05.2655                                                                
OGLE-BLG-ROT-000072 17:15:29.39 -29:05:56.7 BLG616.05.715    BLG359.7.38412                                               
OGLE-BLG-ROT-000073 17:15:30.18 -30:04:38.6 BLG617.05.25422                                                               
OGLE-BLG-ROT-000074 17:15:34.98 -29:31:51.5 BLG617.22.19793  BLG362.6.46716                                               
OGLE-BLG-ROT-000075 17:15:36.31 -29:21:09.3 BLG617.30.2677   BLG362.5.75830                                               
OGLE-BLG-ROT-000076 17:15:36.63 -30:14:58.9 BLG617.05.6579                                                                
OGLE-BLG-ROT-000077 17:15:36.81 -29:20:07.5 BLG617.30.6681   BLG362.5.75834                                               
OGLE-BLG-ROT-000078 17:15:40.59 -30:14:17.5 BLG617.04.98050                                                               
OGLE-BLG-ROT-000079 17:15:41.17 -29:33:27.0 BLG617.21.107789 BLG362.6.13096                                               
OGLE-BLG-ROT-000080 17:15:44.42 -29:53:55.5 BLG617.12.101949                                                              
OGLE-BLG-ROT-000081 17:15:45.16 -28:59:06.5 BLG616.04.78277  BLG359.6.14666                                               
OGLE-BLG-ROT-000082 17:15:46.66 -29:53:40.0 BLG617.12.101834 BLG362.8.16825                                               
OGLE-BLG-ROT-000083 17:15:46.87 -29:38:18.0 BLG617.21.99425  BLG362.7.87748                                               
OGLE-BLG-ROT-000084 17:15:50.70 -28:59:21.2 BLG616.04.78583  BLG359.6.14764                                               
OGLE-BLG-ROT-000085 17:15:54.22 -28:01:25.5 BLG616.29.65336                                                               
OGLE-BLG-ROT-000086 17:15:55.59 -29:23:56.5 BLG617.29.63009  BLG362.5.52470                                               
OGLE-BLG-ROT-000087 17:15:56.69 -28:20:24.1 BLG616.21.88316                                                               
OGLE-BLG-ROT-000088 17:15:58.09 -29:00:46.8 BLG616.04.78997  BLG359.7.116567                                              
OGLE-BLG-ROT-000089 17:16:01.16 -30:06:38.5 BLG617.04.51457                                                               
OGLE-BLG-ROT-000090 17:16:01.69 -29:09:59.3 BLG617.29.55125  BLG359.8.117921                                              
OGLE-BLG-ROT-000091 17:16:01.79 -29:05:58.4 BLG616.04.838    BLG359.7.51141                                               
OGLE-BLG-ROT-000092 17:16:02.31 -29:21:42.0 BLG617.29.33578  BLG362.5.52687                                               
OGLE-BLG-ROT-000093 17:16:05.90 -29:34:59.3 BLG617.21.41431  BLG362.6.25572                                               
OGLE-BLG-ROT-000094 17:16:06.48 -29:45:28.6 BLG617.12.53092  BLG362.8.127953                                              
OGLE-BLG-ROT-000095 17:16:13.51 -29:53:02.1 BLG617.12.10202  BLG362.8.29388                                               
OGLE-BLG-ROT-000096 17:16:13.67 -29:51:09.0 BLG617.12.13975  BLG362.8.63823                                               
OGLE-BLG-ROT-000097 17:16:15.05 -29:17:50.7 BLG617.29.6681   BLG359.8.26568                                               
OGLE-BLG-ROT-000098 17:16:16.20 -29:28:00.8 BLG617.21.23156  BLG362.6.128553                                              
OGLE-BLG-ROT-000099 17:16:17.02 -29:11:45.0 BLG617.29.19320  BLG359.8.95480                                               
OGLE-BLG-ROT-000100 17:16:17.37 -29:35:33.8 BLG617.21.10746  BLG362.7.131786                                              
OGLE-BLG-ROT-000101 17:16:17.45 -28:42:59.5 BLG616.12.14951  BLG359.5.115645                                              
OGLE-BLG-ROT-000102 17:16:25.85 -30:08:47.7 BLG617.03.100937                                                              
OGLE-BLG-ROT-000103 17:16:27.87 -28:42:01.2 BLG616.11.77105  BLG359.4.96422                                               
OGLE-BLG-ROT-000104 17:16:28.58 -29:14:59.7 BLG617.28.112627 BLG359.1.31060                                               
OGLE-BLG-ROT-000105 17:16:31.08 -29:33:18.9 BLG617.20.105676 BLG362.3.194                                                 
OGLE-BLG-ROT-000106 17:16:31.86 -30:03:40.9 BLG617.03.108014                                                              
OGLE-BLG-ROT-000107 17:16:35.49 -28:36:02.8 BLG616.11.93944                                                               
OGLE-BLG-ROT-000108 17:16:44.49 -29:19:14.4 BLG617.28.38516  BLG362.4.103977                                              
OGLE-BLG-ROT-000109 17:16:48.83 -30:19:17.4 BLG617.03.28607                                                               
OGLE-BLG-ROT-000110 17:16:51.08 -30:19:49.4 BLG617.03.26234                                                               
OGLE-BLG-ROT-000111 17:16:51.17 -28:24:41.6 BLG616.20.14713                                                               
OGLE-BLG-ROT-000112 17:16:53.41 -29:28:16.1 BLG617.20.52151  BLG362.3.114893                                              
OGLE-BLG-ROT-000113 17:16:56.49 -30:00:00.4 BLG617.11.2556                                                                
OGLE-BLG-ROT-000114 17:16:58.31 -30:17:46.8 BLG617.03.3044                                                                
OGLE-BLG-ROT-000115 17:17:00.61 -29:03:45.3 BLG616.03.354    BLG359.2.80168                                               
OGLE-BLG-ROT-000116 17:17:01.52 -29:53:26.6 BLG617.11.9697   BLG362.1.12228                                               
OGLE-BLG-ROT-000117 17:17:01.88 -28:55:10.8 BLG616.03.33124  BLG359.3.80015                                               
OGLE-BLG-ROT-000118 17:17:02.08 -29:48:00.3 BLG617.11.16742  BLG362.1.80034                                               
OGLE-BLG-ROT-000119 17:17:03.76 -29:59:36.3 BLG617.11.2740                                                                
OGLE-BLG-ROT-000120 17:17:08.73 -29:06:30.6 BLG617.27.126497 BLG359.2.49305                                               
OGLE-BLG-ROT-000121 17:17:10.74 -30:13:09.2 BLG617.02.91092                                                               
OGLE-BLG-ROT-000122 17:17:10.78 -29:02:31.2 BLG616.02.75416  BLG359.2.85206                                               
OGLE-BLG-ROT-000123 17:17:13.19 -30:16:18.9 BLG617.02.87568                                                               
OGLE-BLG-ROT-000124 17:17:14.21 -29:47:39.8 BLG617.10.107996 BLG362.1.84779                                               
OGLE-BLG-ROT-000125 17:17:14.78 -29:49:43.1 BLG617.10.104249 BLG362.1.54072                                               
OGLE-BLG-ROT-000126 17:17:15.27 -29:27:39.4 BLG617.19.87399  BLG362.3.122381                                              
OGLE-BLG-ROT-000127 17:17:15.31 -28:06:34.0 BLG616.27.52912                                                               
OGLE-BLG-ROT-000128 17:17:15.78 -29:37:02.0 BLG617.19.75469  BLG362.2.119809                                              
OGLE-BLG-ROT-000129 17:17:20.30 -29:37:18.6 BLG617.19.70711  BLG362.2.119112                                              
OGLE-BLG-ROT-000130 17:17:20.45 -29:57:16.6 BLG617.10.62760                                                               
OGLE-BLG-ROT-000131 17:17:24.01 -30:18:59.4 BLG617.02.56417                                                               
OGLE-BLG-ROT-000132 17:17:25.84 -29:56:34.7 BLG617.10.62789                                                               
OGLE-BLG-ROT-000133 17:17:29.23 -29:54:52.8 BLG617.10.36821                                                               
OGLE-BLG-ROT-000134 17:17:31.50 -29:20:35.1 BLG617.27.35124  BLG362.4.89216                                               
OGLE-BLG-ROT-000135 17:17:31.84 -29:55:50.1 BLG617.10.33058                                                               
OGLE-BLG-ROT-000136 17:17:35.31 -29:18:46.4 BLG617.27.39666  BLG362.4.122223                                              
OGLE-BLG-ROT-000137 17:17:36.64 -28:31:53.5 BLG616.10.49777                                                               
OGLE-BLG-ROT-000138 17:17:40.78 -30:11:58.9 BLG617.02.13510                                                               
OGLE-BLG-ROT-000139 17:17:41.79 -28:52:38.8 BLG616.02.47004  BLG359.3.128058                                              
OGLE-BLG-ROT-000140 17:17:50.97 -27:56:25.0 BLG616.26.77046                                                               
OGLE-BLG-ROT-000141 17:17:54.60 -28:57:39.7 BLG616.01.93356  BLG358.6.43497                                               
OGLE-BLG-ROT-000142 17:17:55.63 -30:17:00.3 BLG617.01.87700                                                               
OGLE-BLG-ROT-000143 17:17:56.41 -30:14:32.9 BLG617.01.91118                                                               
OGLE-BLG-ROT-000144 17:17:57.42 -30:09:42.3 BLG617.01.98613                                                               
OGLE-BLG-ROT-000145 17:17:57.58 -30:10:09.3 BLG617.01.98591                                                               
OGLE-BLG-ROT-000146 17:17:57.60 -29:38:28.1 BLG617.18.103430 BLG361.7.61928                                               
OGLE-BLG-ROT-000147 17:18:01.05 -29:22:41.1 BLG617.26.59279  BLG361.5.37685                                               
OGLE-BLG-ROT-000148 17:18:09.30 -28:06:25.8 BLG616.26.92                                                                  
OGLE-BLG-ROT-000149 17:18:09.43 -29:46:45.0 BLG617.09.51494  BLG361.8.94680                                               
OGLE-BLG-ROT-000150 17:18:10.91 -30:10:38.8 BLG617.01.40924                                                               
OGLE-BLG-ROT-000151 17:18:16.15 -30:06:19.2 BLG617.01.49133                                                               
OGLE-BLG-ROT-000152 17:18:16.54 -30:09:51.6 BLG617.01.40990                                                               
OGLE-BLG-ROT-000153 17:18:16.57 -29:17:58.9 BLG617.26.35519  BLG358.8.14144                                               
OGLE-BLG-ROT-000154 17:18:17.66 -29:46:51.8 BLG617.09.51487  BLG361.8.94742                                               
OGLE-BLG-ROT-000155 17:18:18.82 -29:28:59.9 BLG617.18.55254  BLG361.6.72089                                               
OGLE-BLG-ROT-000156 17:18:19.30 -29:29:23.9 BLG617.18.55027  BLG361.6.75930                                               
OGLE-BLG-ROT-000157 17:18:22.46 -30:15:05.9 BLG617.01.6173                                                                
OGLE-BLG-ROT-000158 17:18:27.05 -29:48:35.3 BLG617.09.17875  BLG361.8.68994                                               
OGLE-BLG-ROT-000159 17:18:34.80 -28:12:27.7 BLG616.17.106133                                                              
OGLE-BLG-ROT-000160 17:18:35.60 -29:55:50.4 BLG617.08.97293                                                               
OGLE-BLG-ROT-000161 17:18:38.22 -29:56:57.5 BLG617.08.97130                                                               
OGLE-BLG-ROT-000162 17:18:41.40 -29:55:43.7 BLG617.08.65624                                                               
OGLE-BLG-ROT-000163 17:18:42.28 -29:36:53.3 BLG617.17.78372  BLG361.7.110963                                              
OGLE-BLG-ROT-000164 17:18:46.35 -29:45:05.9 BLG617.08.87311  BLG361.8.105750                                              
OGLE-BLG-ROT-000165 17:18:50.77 -29:55:44.1 BLG617.08.65838                                                               
OGLE-BLG-ROT-000166 17:18:57.28 -29:43:05.0 BLG617.17.31701  BLG361.7.24261                                               
OGLE-BLG-ROT-000167 17:19:06.14 -29:40:37.0 BLG617.17.3016                                                                
OGLE-BLG-ROT-000168 17:21:14.83 -29:57:49.0 BLG615.16.92792                                                               
OGLE-BLG-ROT-000169 17:21:20.03 -29:43:49.5 BLG615.25.96577                                                               
OGLE-BLG-ROT-000170 17:21:22.07 -30:03:09.4 BLG615.16.60645                                                               
OGLE-BLG-ROT-000171 17:21:23.65 -30:01:57.4 BLG615.16.60857                                                               
OGLE-BLG-ROT-000172 17:21:25.52 -29:37:30.9 BLG615.25.76848                                                               
OGLE-BLG-ROT-000173 17:21:27.21 -29:33:48.2 BLG615.25.84885                                                               
OGLE-BLG-ROT-000174 17:21:32.46 -29:57:55.9 BLG615.16.40330                                                               
