OGLE-BLG-DN-0722 18:07:09.24 -29:24:28.2 18.293 1.955  C  1 0 19       -       -
OGLE-BLG-DN-0731 18:07:20.00 -28:36:29.3 17.456 2.499  B  2 0 16       -       -
OGLE-BLG-DN-0764 18:08:23.78 -29:25:12.9 16.691 2.302  A  1 0 23       -       -
OGLE-BLG-DN-0770 18:08:33.52 -27:30:44.0 16.779 3.666  A  1 0 21       -       -
OGLE-BLG-DN-0783 18:09:07.57 -25:47:17.0 17.234 2.267  B  4 2 22       -       -
OGLE-BLG-DN-0817 18:09:55.72 -27:33:18.8 17.734 2.460  A  1 0 24       -       -
OGLE-BLG-DN-0826 18:10:08.46 -24:57:03.2 17.618 2.704 AB  - 0 23       -       -
OGLE-BLG-DN-0831 18:10:15.32 -26:31:41.5 18.379 1.864  -  - 0 29       -       -
OGLE-BLG-DN-0858 18:10:50.35 -32:39:00.9 18.214 2.167  -  - 0 35       -       -
OGLE-BLG-DN-0864 18:11:03.61 -29:29:12.8 17.861 1.681 AB  - 0 25       -       -
OGLE-BLG-DN-0899 18:12:25.69 -27:08:27.6 17.270 2.560 D:  0 0 32       -       -
OGLE-BLG-DN-0932 18:14:09.75 -30:31:21.5 17.199 2.951 D:  0 0 55       -       -
OGLE-BLG-DN-0957 18:15:18.77 -27:15:21.0 17.861 2.472 D:  0 0 32       -       -
OGLE-BLG-DN-0968 18:15:39.18 -28:53:54.6 16.092 4.170  D  0 0 27       -       -
OGLE-BLG-DN-1041 18:21:03.99 -26:14:56.5 15.700 5.571  D  0 0 26       -       -
