#Name,Date,RaDeg,DecDeg
Gaia22cum,2022-07-04 14:07:36,64.25836,58.39613
Gaia22cue,2022-07-03 17:23:10,238.2974,-55.35084
Gaia22ctm,2022-07-02 02:17:09,47.99814,51.06921
Gaia22csu,2022-06-30 15:56:45,50.91685,56.69588
Gaia22coc,2022-06-16 16:21:59,323.19125,47.18399
Gaia22cml,2022-06-13 21:05:01,308.8203,18.87144
Gaia22che,2022-05-27 17:39:44,104.14739,-13.43682
Gaia22cgg,2022-05-24 20:51:36,292.45912,19.24769
Gaia22cfj,2022-05-22 12:01:08,132.0079,-22.67886
Gaia22cek,2022-05-19 13:38:10,128.39857,-36.24479
Gaia22bxd,2022-04-28 07:14:37,214.50515,-64.46646
Gaia22bvt,2022-04-24 06:56:31,244.7004,-57.78853
Gaia22bue,2022-04-21 14:59:40,330.54056,36.75799
Gaia22bra,2022-04-17 03:24:49,297.50365,26.48553
Gaia22bpw,2022-04-15 11:53:17,146.42028,-54.73956
Gaia22bps,2022-04-15 04:19:02,346.87414,59.42837
Gaia22bpo,2022-04-15 06:03:41,130.7137,-48.24946
Gaia22bmb,2022-04-05 23:19:23,224.95038,-74.07013
Gaia22blw,2022-04-05 05:06:16,237.08896,-61.35284
Gaia22bkb,2022-04-01 01:42:23,72.31723,46.32195
Gaia22biy,2022-03-29 13:44:47,85.3069,44.76724
Gaia22bhv,2022-03-26 16:35:17,268.55345,-30.21468
Gaia22bhb,2022-03-26 04:33:43,269.35759,-28.25515
Gaia22bgb,2022-03-24 04:28:39,274.08489,-20.70703
Gaia22bdg,2022-03-16 22:09:26,287.74381,5.42846
Gaia22bdd,2022-03-16 07:05:07,103.77802,-13.99124
Gaia22bbo,2022-03-12 02:48:11,114.09173,-20.61942
Gaia22ayt,2022-03-04 21:29:40,309.50509,37.98065
Gaia22ayl,2022-03-04 03:27:58,311.32853,38.5007
Gaia22ayd,2022-03-03 12:13:29,148.26635,-57.81384
Gaia22aya,2022-03-03 18:20:49,141.04541,-52.51795
Gaia22axd,2022-03-02 02:43:43,17.49562,67.12998
Gaia22awp,2022-02-28 20:37:50,29.17441,62.46857
Gaia22awm,2022-02-28 19:55:03,92.6331,34.864
Gaia22avg,2022-02-27 05:09:22,248.7994,-44.8762
Gaia22ava,2022-02-27 04:42:47,270.12729,-27.63073
Gaia22aux,2022-02-26 18:15:09,277.28661,-16.60342
Gaia22auw,2022-02-26 19:38:51,96.10872,18.53418
Gaia22aug,2022-02-26 10:20:39,280.68206,-10.0076
Gaia22atd,2022-02-22 23:43:10,287.76875,10.60902
Gaia22asv,2022-02-22 06:59:31,112.24355,-16.26189
Gaia22ash,2022-02-20 14:32:52,121.14864,-25.07437
Gaia22apw,2022-02-15 00:37:56,121.35639,-33.72953
Gaia22aop,2022-02-11 06:31:09,125.16845,-40.96115
Gaia22amv,2022-02-07 12:23:39,133.77579,-48.09891
Gaia22alp,2022-02-04 00:45:00,85.25223,-69.13845
Gaia22aev,2022-01-14 19:41:30,249.69071,-45.72523
Gaia22aem,2022-01-13 13:43:48,249.93284,-49.35414
