OGLE-BLG-T2CEP-0001  BLHer  17:05:20.35 -32:28:17.7  BLG897.11.124    BLG366.5.86766                  
OGLE-BLG-T2CEP-0002  BLHer  17:06:15.00 -33:01:27.6                   BLG366.8.22036                  
OGLE-BLG-T2CEP-0003  BLHer  17:08:40.14 -32:54:10.4  BLG908.14.59251  BLG332.6.61794                  
OGLE-BLG-T2CEP-0004  BLHer  17:13:10.84 -29:05:45.3  BLG618.17.177    BLG360.7.43390                  
OGLE-BLG-T2CEP-0005  BLHer  17:13:57.05 -32:15:35.9  BLG917.15.63983  BLG364.1.38522                  
OGLE-BLG-T2CEP-0006  pWVir  17:14:25.43 -28:46:46.6  BLG616.14.60798  BLG360.4.41373                  NSV 21170
OGLE-BLG-T2CEP-0007  BLHer  17:23:54.79 -29:02:37.8  BLG614.05.36336  BLG331.5.150614                 
OGLE-BLG-T2CEP-0008  BLHer  17:24:20.93 -27:55:49.2  BLG921.04.2260   BLG356.8.134613                 
OGLE-BLG-T2CEP-0009  BLHer  17:24:22.29 -29:27:35.5  BLG615.29.82221  BLG331.7.28689                  
OGLE-BLG-T2CEP-0010  BLHer  17:27:05.54 -25:36:01.6  BLG665.16.46187  BLG355.1.128586                 
OGLE-BLG-T2CEP-0011   WVir  17:27:17.67 -25:38:23.7  BLG619.26.1883   BLG355.1.98281                  
OGLE-BLG-T2CEP-0012  BLHer  17:27:24.14 -39:51:30.8  BLG930.10.459    BLG200.3.35130  BUL_SC47_254614 V1505 Sco
OGLE-BLG-T2CEP-0013  BLHer  17:27:58.75 -29:26:02.1  BLG613.15.42116  BLG330.6.87273                  
OGLE-BLG-T2CEP-0014  BLHer  17:29:19.97 -29:27:55.4  BLG613.13.38795  BLG330.3.41707                  NSV 8838
OGLE-BLG-T2CEP-0015  BLHer  17:34:28.10 -27:06:19.0  BLG611.23.4353   BLG333.6.46451                  
OGLE-BLG-T2CEP-0016  BLHer  17:35:02.05 -27:14:50.8  BLG611.13.26654  BLG333.7.55533  BUL_SC43_159919 V2735 Oph
OGLE-BLG-T2CEP-0017  BLHer  17:35:08.11 -27:31:26.0  BLG611.05.29535                  BUL_SC43_130103 V2736 Oph
OGLE-BLG-T2CEP-0018  BLHer  17:35:13.78 -27:03:17.1  BLG611.21.164124 BLG333.6.120692 BUL_SC43_311829 V2738 Oph
OGLE-BLG-T2CEP-0019  RVTau  17:35:26.94 -27:34:53.5  BLG611.04.108343                 BUL_SC43_242845 
OGLE-BLG-T2CEP-0020  BLHer  17:35:29.13 -26:55:53.3  BLG611.21.132345 BLG333.5.113102 BUL_SC43_326907 V2739 Oph
OGLE-BLG-T2CEP-0021  BLHer  17:35:54.94 -22:34:26.9  BLG621.03.48088  BLG336.7.70921                  
OGLE-BLG-T2CEP-0022  BLHer  17:36:09.78 -26:54:59.3  BLG611.20.130629 BLG333.4.97615                  
OGLE-BLG-T2CEP-0023   WVir  17:36:34.02 -27:18:08.6  BLG611.11.22197  BLG333.2.31353                  
OGLE-BLG-T2CEP-0024  RVTau  17:36:47.43 -27:13:06.8  BLG611.10.118713 BLG333.2.126643                 
OGLE-BLG-T2CEP-0025   WVir  17:37:43.22 -22:22:09.4  BLG621.08.31255  BLG336.3.114175                 
OGLE-BLG-T2CEP-0026  BLHer  17:38:07.53 -21:17:32.0                   BLG352.8.63914                  
OGLE-BLG-T2CEP-0027   WVir  17:39:53.36 -20:59:34.7  BLG624.30.25578  BLG352.3.83929                  
OGLE-BLG-T2CEP-0028   WVir  17:40:50.75 -25:03:53.4  BLG714.20.95490  BLG334.7.95192                  
OGLE-BLG-T2CEP-0029  BLHer  17:41:22.18 -22:40:33.3  BLG625.19.123778 BLG338.8.133156                 
OGLE-BLG-T2CEP-0030  BLHer  17:42:38.02 -23:35:57.8  BLG626.26.14596  BLG344.6.96995                  
OGLE-BLG-T2CEP-0031   WVir  17:42:51.34 -21:30:11.6                                                   V0554 Oph
OGLE-BLG-T2CEP-0032   WVir  17:43:08.19 -23:26:58.0  BLG632.25.2      BLG344.5.114696                 
