OGLE-TR-1055 17:58:41.82 -29:11:27.7 BLG505.19.189760 BLG104.5.226533 BUL_SC34.808988 -
OGLE-TR-1056 17:58:55.74 -28:53:03.8 BLG505.27.115614 -               -               -
OGLE-TR-1057 17:59:05.12 -28:29:51.9 BLG504.02.70296  BLG215.8.133920 -               -
OGLE-TR-1058 17:59:14.69 -27:44:55.6 BLG504.19.38476  BLG223.7.148038 -               -
OGLE-TR-1059 17:59:24.87 -28:01:37.4 BLG504.09.205165 BLG215.5.125956 -               -
OGLE-TR-1060 17:59:27.20 -28:00:26.8 BLG504.09.212265 BLG215.5.178340 -               -
OGLE-TR-1061 17:59:30.54 -27:23:20.3 BLG504.26.141626 BLG232.8.31369  -               -
OGLE-TR-1062 17:59:44.10 -28:05:53.7 BLG504.09.85898  BLG215.5.85774  -               -
OGLE-TR-1063 17:59:51.37 -29:17:22.5 BLG505.09.82929  BLG104.4.33183  BUL_SC21.215    -
OGLE-TR-1064 18:00:00.26 -29:15:02.6 BLG505.09.37405  BLG104.4.106272 BUL_SC21.15840  -
OGLE-TR-1065 18:00:17.82 -28:49:53.7 BLG512.16.71485  BLG206.3.90618  BUL_SC21.353711 -
OGLE-TR-1066 18:00:24.34 -28:20:56.8 BLG512.25.94231  BLG215.2.142590 -               -
OGLE-TR-1067 18:01:02.46 -29:09:54.7 BLG512.07.57811  BLG105.5.211371 BUL_SC30.23089  -
OGLE-TR-1068 18:01:11.74 -28:53:43.1 BLG512.15.18     BLG206.2.273470 BUL_SC30.271873 -
OGLE-TR-1069 18:01:16.03 -28:25:46.1 BLG512.24.27253  BLG215.2.51610  -               -
OGLE-TR-1070 18:01:17.40 -28:30:28.0 BLG512.24.12879  BLG215.1.170018 -               -
OGLE-TR-1071 18:01:17.69 -28:48:23.4 BLG512.15.12912  BLG207.6.66715  BUL_SC30.299284 -
OGLE-TR-1072 18:01:20.90 -28:26:24.4 BLG512.23.200958 BLG215.1.231578 -               -
OGLE-TR-1073 18:01:28.64 -28:25:28.0 BLG512.23.201052 BLG215.2.59737  -               -
OGLE-TR-1074 18:01:46.42 -28:00:52.9 BLG512.31.97610  BLG216.5.199817 -               -
OGLE-TR-1075 18:01:47.87 -28:01:19.6 BLG512.31.90527  BLG216.5.199843 -               -
OGLE-TR-1076 18:01:59.91 -28:46:32.9 BLG512.14.20705  BLG207.6.168007 BUL_SC31.60417  -
OGLE-TR-1077 18:02:01.98 -28:43:15.8 BLG512.13.200527 BLG207.5.31697  -               -
OGLE-TR-1078 18:02:16.54 -29:05:43.6 BLG512.05.128353 BLG207.8.170019 -               -
OGLE-TR-1079 18:02:44.77 -28:48:25.6 BLG512.12.190769 BLG207.3.66683  BUL_SC31.645622 -
OGLE-TR-1080 18:02:50.21 -28:21:44.1 BLG512.21.216907 BLG216.2.127623 -               -
OGLE-TR-1081 18:03:14.00 -28:27:14.8 BLG512.21.86484  BLG216.1.191792 BUL_SC32.346529 -
OGLE-TR-1082 18:03:15.26 -28:45:00.7 BLG512.12.87494  BLG207.3.222600 BUL_SC32.280235 -
OGLE-TR-1083 18:03:15.36 -28:24:25.6 BLG512.21.94254  BLG216.2.15662  BUL_SC32.346868 -
OGLE-TR-1084 18:03:18.58 -28:24:45.1 BLG512.21.36052  BLG216.2.23714  BUL_SC32.346477 -
OGLE-TR-1085 18:03:21.39 -28:12:40.2 BLG512.29.12795  BLG216.3.158956 -               -
OGLE-TR-1086 18:03:39.15 -28:47:04.6 BLG512.11.136795 BLG207.3.183289 BUL_SC32.469470 -
OGLE-TR-1087 18:03:46.16 -28:07:56.2 BLG512.28.145532 BLG216.4.42508  -               -
OGLE-TR-1088 18:03:47.49 -28:05:03.0 BLG512.28.94568  BLG216.4.115772 -               -
OGLE-TR-1089 18:04:07.51 -28:41:30.5 BLG512.11.34995  BLG208.5.69562  BUL_SC2.149422  -
OGLE-TR-1090 18:04:14.72 -28:20:22.9 BLG512.19.221612 BLG217.7.130269 BUL_SC35.218195 -
OGLE-TR-1091 18:04:18.26 -28:24:30.5 BLG512.19.213607 BLG217.7.8416   -               -
OGLE-TR-1092 18:04:23.84 -28:48:50.7 BLG512.10.125916 BLG208.6.88265  BUL_SC2.331765  -
OGLE-TR-1093 18:04:46.65 -28:57:20.9 BLG512.02.43820  BLG208.7.168851 BUL_SC2.684748  -
OGLE-TR-1094 18:04:49.42 -28:00:44.0 BLG512.27.51709  BLG217.5.211192 -               -
OGLE-TR-1095 18:04:53.49 -28:13:33.0 BLG512.26.168423 BLG217.6.103009 BUL_SC35.621045 -
OGLE-TR-1096 18:05:07.41 -28:15:56.6 BLG512.26.108037 BLG217.6.47780  BUL_SC36.26433  -
OGLE-TR-1097 18:05:15.35 -28:08:47.3 BLG512.26.73306  BLG217.6.244576 BUL_SC36.286700 -
OGLE-TR-1098 18:05:29.39 -28:15:28.8 BLG512.26.4943   BLG217.3.236    BUL_SC36.258166 -
OGLE-TR-1099 18:05:36.98 -28:28:27.6 BLG512.17.175335 BLG217.1.173222 BUL_SC33.541055 -
